1. How do you usually react to unexpected situations?,Consent:,1. What is your age?,2. What is your gender?,3.What is the highest level of education you have completed?,4. What is your current employment status?,5. What is your marital status?,6. What is your household’s total annual income before taxes?,7. Which of the following best describes your race or ethnicity? (Select all that apply),8. In which region do you currently reside?,"9. Do you have any children? If yes, please indicate their age range(s).",1. I prioritize purchasing organic products over conventional ones.      ,12. The cost of a product is a decisive factor when I am making a purchase decision.,2. The origin (local vs. imported) of the products influences my purchase decisions.,"3. I choose grocery items that promote sustainability (e.g., biodegradable packaging, sustainably farmed, etc.).",4. I often feel overwhelmed by the variety of product choices available in the store.,5. I am influenced by product packaging and presentation while making purchase decisions. ,6. Nutritional information significantly impacts my grocery shopping choices.,"7. The environmental impact of the products (e.g. packaging waste, carbon footprint, etc.) is important in my purchasing decisions.","8. Convenience and store environment (e.g., store location, parking availability, cleanliness, layout, lighting, etc.) are deciding factors while shopping.",9. I try new products or brands while shopping.,10. I try new products if they are on promotion or discount.,11. I tend to stick strictly to my shopping list while buying groceries.,1. I value performance and speed while choosing a car.,2. I consider the environmental impact of a car significantly in my decision-making (fuel operated vs. electric).,3. I value a product's technology and innovation highly while making a purchase decision.,4. The brand of a product influences my perception of its quality.,5. I will buy a car that fits my lifestyle and daily needs over a stylish car with the best performance and brand reputation.,6. I choose a product based on its safety features.,7. The resale value of the car is an important consideration for me while buying it.,8. I prefer cars that offer spacious and comfortable interiors.,9. My purchase decisions are influenced by the experiences and recommendations of others.,10. I value cost efficiency over luxury while making a purchase decision,11. I consider that my product choice reflects my social image.,12. I think comfort is an important factor compared to a car's performance.,1. I prefer choosing a product based on brand recognition over specifications.,"2. The technical features, design, and aesthetic of a product influence my decision.",3. I typically decide quickly when purchasing products.,4. I consider online reviews before making a purchase decision.,5. Recommendations from friends or family impact my choice.,6. Brand loyalty influences my decision when choosing a smartphone.,7. I am likely to choose a lesser-known brand if it offers greater features and environmental benefits.,8. Brand promotions or discounts are important factors while making a purchase.,9. I am open to trying new brands that I haven’t used before.,10. The customer service reputation of the brand affects my decision.,11. My past experiences with a brand influence my current product purchase.,12. I think that the product I use defines my societal status.,1. I often rely on my gut feelings when making decisions.,2. I trust my instincts when choosing between products.,3. Fear of making the wrong decision often influences my choices.,4. I gather as much information as possible before deciding.,5. I prefer to make decisions based on what feels right rather than on thorough analysis.,6. I rely on logical reasoning when making choices.,7. I make decisions quickly based on intuition.,8. I prefer to analyse the details thoroughly before coming to a conclusion.,9. I make decisions based on facts and data rather than feelings.,10. I try to make decisions that I will not regret later.,11. I tend to avoid making decisions if I fear I might regret them.,12. My hunches play a significant role in my buying decisions.,13. I often worry about regretting my decisions.,14. I consider the possibility of future regret when making decisions.,15. I carefully analyse all the information before making a decision.,5. How frequently do you use online platforms for shopping?,6. How frequently do you go out shopping?,7.2. How likely are you to buy from the same brand/company again? ,"7.3. On a scale of 1-5, how satisfied were you with your last online purchase. Where ‘1’ being you are Unsatisfied with your purchase and ‘5’ being you are Very Satisfied with your purchase.","3. On a scale of 1-5, how often do you make purchases based on your mood? Where ‘1’ being Less Often and ‘5’ being Most Often"
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,"Some college, no degree",Employed part-time,Single/Never married,"Less than $20,000",Asian,South Asia,No children,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,Daily,Weekly,Neutral,7,1
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,Some high school,Student,Single/Never married,Prefer not to answer,Asian,South Asia,No children,4,3,3,5,5,5,5,5,5,4,3,4,5,5,4,3,4,5,3,5,4,3,3,3,4,4,4,5,5,5,3,5,4,4,5,3,3,4,4,5,4,5,3,5,5,5,5,5,5,5,5,Monthly,Monthly,Very Likely,7,5
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,Bachelor’s degree,Employed part-time,Single/Never married,"Less than $20,000",Asian,South Asia,No children,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Weekly,Daily,Likely,7,1
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,"Some college, no degree",Student,Single/Never married,"Less than $20,000",Asian,South Asia,No children,5,4,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,Weekly,Daily,Neutral,7,3
I get anxious,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,"Some college, no degree",Unemployed,Single/Never married,"Less than $20,000",Asian,South Asia,No children,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Daily,Weekly,Unlikely,7,3
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,High school graduate,Employed full-time,Single/Never married,"$20,000 to $39,999",Asian,Southeast Asia,No children,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,5,3,2,5,5,1,3,5,1,5,5,3,3,4,4,5,1,4,3,2,4,Weekly,Monthly,Neutral,3,4
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,Some high school,Student,Single/Never married,Prefer not to answer,"Caucasian (White), Asian, Pacific Islander",South Asia,No children,4,4,3,5,4,3,4,4,3,5,5,4,5,5,5,4,3,5,5,4,3,3,4,4,3,3,2,4,4,4,5,4,5,4,4,3,4,3,5,5,4,3,4,5,5,5,2,3,5,4,5,Monthly,Rarely,Likely,4,3
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,Some high school,Student,Single/Never married,Prefer not to answer,Asian,South Asia,No children,5,4,3,5,3,2,4,4,3,3,2,3,4,3,3,2,3,4,3,4,3,4,2,4,3,3,2,3,4,3,4,3,3,3,3,2,3,3,4,3,3,3,2,3,4,3,4,3,3,4,4,Monthly,Monthly,Neutral,4,3
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Female,Bachelor’s degree,Student,Single/Never married,"$150,000 or more",Asian,West Europe,No children,1,3,3,1,3,5,5,2,4,4,3,1,2,4,5,5,5,5,1,5,5,3,5,5,5,2,5,4,5,5,1,2,1,5,5,3,5,5,1,3,3,3,2,3,3,4,3,4,2,2,3,Monthly,Monthly,Very Unlikely,7,5
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,Some high school,Student,Single/Never married,Prefer not to answer,Asian,South Asia,No children,4,4,4,4,4,5,3,4,5,3,4,5,4,5,4,5,2,5,2,5,2,5,2,4,1,4,2,1,2,5,1,2,2,4,5,4,4,4,4,5,5,4,1,4,4,4,4,2,3,4,5,Rarely,Weekly,Unlikely,5,4
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",35 - 44,Female,Bachelor’s degree,Unemployed,Divorced,"$40,000 to $59,999",Hispanic or Latino,Canada,Child/Children (6-12 years),4,3,3,2,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,3,5,5,5,4,2,4,3,4,4,3,5,4,4,5,3,3,3,3,4,3,3,4,3,3,4,4,3,3,4,5,Daily,Monthly,Neutral,5,4
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,High school graduate,Unemployed,Single/Never married,"Less than $20,000",Native American or Indigenous Peoples,USA,No children,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,5,5,1,5,1,3,1,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Daily,Monthly,Very Likely,7,5
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,High school graduate,Employed part-time,Single/Never married,"Less than $20,000","Caucasian (White), Black or African American, Middle Eastern",USA,No children,4,5,5,4,4,5,5,5,3,4,3,5,5,4,4,5,5,5,4,3,3,3,5,5,5,5,4,5,5,5,3,4,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,4,5,Monthly,Rarely,Neutral,7,5
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",45 - 54,Male,Post Graduate degree or higher,Employed full-time,Married or domestic partnership,"$20,000 to $39,999",Native American or Indigenous Peoples,South America,Child/Children (6-12 years),5,5,5,5,5,5,5,4,4,3,4,4,3,4,3,5,4,5,5,5,5,4,5,5,5,5,3,5,5,4,5,4,4,5,5,5,5,4,5,5,5,4,5,4,5,4,5,3,4,5,4,Monthly,Monthly,Neutral,7,5
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,"Some college, no degree",Unemployed,Single/Never married,"Less than $20,000",Black or African American,South America,No children,5,4,5,4,5,4,3,3,4,5,5,4,5,5,5,5,2,4,1,5,5,5,5,5,3,3,5,5,3,3,4,2,4,5,5,5,5,5,4,5,5,5,3,3,5,5,5,4,4,4,3,Weekly,Monthly,Likely,5,5
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,"Some college, no degree",Employed part-time,Single/Never married,"Less than $20,000",Caucasian (White),Canada,No children,3,5,4,5,5,4,5,4,5,5,4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,3,5,4,5,5,5,Weekly,Weekly,Likely,6,5
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,"Some college, no degree",Employed part-time,Single/Never married,"Less than $20,000",Middle Eastern,Canada,No children,3,5,3,3,3,1,5,3,5,4,3,2,4,4,4,3,3,3,2,4,4,4,5,4,4,3,5,5,2,5,5,4,4,5,4,4,3,4,3,2,4,2,3,4,3,4,2,4,2,4,4,Monthly,Rarely,Neutral,5,5
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",35 - 44,Female,Post Graduate degree or higher,Self-employed,Married or domestic partnership,"Less than $20,000",Native American or Indigenous Peoples,South America,Teenager(s) (13-19 years),5,4,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,3,Monthly,Weekly,Likely,7,5
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,High school graduate,Employed part-time,Single/Never married,"$20,000 to $39,999",Black or African American,Africa,No children,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,3,4,5,4,5,5,5,3,4,4,5,5,5,4,Monthly,Monthly,Likely,6,5
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Female,Bachelor’s degree,Unemployed,Single/Never married,"Less than $20,000",Caucasian (White),South America,No children,4,5,4,3,4,5,4,4,4,4,3,4,4,4,4,4,4,2,3,4,4,1,5,3,3,4,2,3,4,2,1,1,2,3,1,2,1,3,3,5,4,2,2,4,4,2,2,5,3,1,2,Daily,Weekly,Likely,6,4
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",65 or older,Female,Bachelor’s degree,Self-employed,Single/Never married,Prefer not to answer,Multiracial or Mixed Race,USA,Adult children (20 years and older),5,3,5,1,3,4,5,1,5,4,3,4,1,5,2,4,5,4,1,5,1,5,1,5,1,5,2,3,1,2,5,1,4,5,5,1,4,3,4,5,1,5,1,5,5,5,5,2,2,3,5,Monthly,Weekly,Neutral,7,3
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,Some high school,Student,Single/Never married,"Less than $20,000",Native American or Indigenous Peoples,Africa,No children,3,3,3,3,2,4,4,2,5,5,5,4,4,3,3,5,3,4,5,4,5,5,5,3,5,4,5,3,3,5,4,4,5,4,4,4,4,4,4,3,4,5,4,4,4,4,5,5,4,5,4,Daily,Rarely,Likely,6,4
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,Some high school,Student,Single/Never married,Prefer not to answer,Asian,Central Asia,No children,5,5,5,5,1,1,5,5,1,1,5,5,5,5,5,1,5,5,5,5,1,5,5,5,4,3,1,5,4,5,4,3,3,4,4,2,4,4,5,5,4,3,3,5,4,3,4,4,5,5,4,Rarely,Rarely,Very Unlikely,5,2
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",45 - 54,Female,Associate degree,Retired,Widowed,"$60,000 to $79,999",Pacific Islander,North Europe,Adult children (20 years and older),2,4,3,4,5,3,4,5,3,3,4,5,4,5,3,4,4,5,5,4,3,3,4,5,3,5,4,2,4,5,3,4,4,5,4,4,4,4,4,4,3,3,5,4,4,4,4,4,5,5,5,Rarely,Daily,Very Likely,7,2
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",35 - 44,Female,Trade/technical/vocational training,Homemaker,Divorced,"$40,000 to $59,999",Middle Eastern,Middle East,Child/Children (6-12 years),3,5,3,4,4,3,5,4,4,5,4,5,4,4,3,5,4,5,3,3,4,4,5,4,4,4,3,5,4,5,5,5,5,5,5,4,4,4,3,5,3,5,4,4,3,5,5,4,3,5,3,Weekly,Daily,Unlikely,7,1
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",35 - 44,Male,Post Graduate degree or higher,Employed full-time,Separated,"$60,000 to $79,999",Caucasian (White),Canada,Child/Children (6-12 years),4,3,4,3,4,4,5,4,3,5,5,4,4,3,5,3,5,5,4,5,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,4,5,4,4,4,5,4,5,5,4,4,Daily,Monthly,Neutral,7,3
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Female,Bachelor’s degree,Employed full-time,Married or domestic partnership,"$40,000 to $59,999",Middle Eastern,Middle East,No children,5,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,4,5,4,4,5,4,4,4,3,4,4,3,4,4,4,5,5,4,4,3,4,3,4,4,3,4,5,5,5,5,5,Monthly,Rarely,Very Unlikely,7,4
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",35 - 44,Female,Trade/technical/vocational training,Employed part-time,Married or domestic partnership,"Less than $20,000",Caucasian (White),Canada,No children,4,3,3,3,4,4,4,3,3,2,4,4,3,3,4,4,5,4,5,5,4,4,5,5,4,4,3,4,5,5,5,5,4,3,3,5,4,3,3,3,1,2,4,4,5,4,3,3,5,5,5,Monthly,Monthly,Very Likely,6,4
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,High school graduate,Student,Single/Never married,"Less than $20,000",Multiracial or Mixed Race,Caribbean Islands,No children,5,5,4,3,5,4,3,3,4,5,3,4,5,4,3,3,4,5,4,3,5,4,3,5,4,4,3,3,4,5,4,5,5,5,3,4,4,4,3,4,5,5,5,3,3,5,5,4,4,5,5,Weekly,Daily,Neutral,7,2
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",35 - 44,Female,Post Graduate degree or higher,Homemaker,Divorced,"Less than $20,000",Pacific Islander,Central Europe,Toddler(s) (3-5 years),5,3,5,4,5,5,3,4,4,5,5,4,5,4,3,5,3,4,5,4,5,5,4,4,5,5,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,4,4,5,5,5,3,4,5,4,5,Weekly,Monthly,Likely,6,5
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,"Some college, no degree",Employed full-time,Married or domestic partnership,"Less than $20,000",Native American or Indigenous Peoples,USA,Infant(s) (0-2 years),3,5,5,4,4,4,5,5,3,4,5,5,5,3,4,5,5,4,4,5,4,4,5,4,2,4,5,4,2,3,4,4,3,3,5,4,5,4,4,5,4,5,5,5,4,4,4,3,4,5,5,Monthly,Daily,Likely,7,5
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",35 - 44,Female,Post Graduate degree or higher,Self-employed,Widowed,"$60,000 to $79,999",Hispanic or Latino,West Europe,Adult children (20 years and older),4,3,3,5,4,3,5,4,3,3,4,5,3,4,5,4,3,4,5,3,4,5,4,3,3,4,5,3,4,5,4,3,4,5,4,3,5,4,4,4,4,4,3,4,3,4,4,5,5,5,5,Rarely,Daily,Likely,7,1
I enjoy the thrill,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,Bachelor’s degree,Unemployed,Single/Never married,"$20,000 to $39,999",Native American or Indigenous Peoples,South America,No children,3,4,4,4,4,3,4,5,5,4,3,4,4,4,4,3,3,3,3,3,5,5,4,3,4,4,5,4,5,3,5,4,4,4,3,3,5,5,4,4,3,3,4,4,5,5,5,5,4,3,4,Daily,Monthly,Very Likely,7,2
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Female,Post Graduate degree or higher,Unemployed,Married or domestic partnership,"$40,000 to $59,999",Multiracial or Mixed Race,North Europe,Child/Children (6-12 years),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,5,5,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Weekly,Monthly,Likely,7,3
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Non-binary/Third gender,Some high school,Unemployed,Single/Never married,"Less than $20,000",Black or African American,Canada,No children,2,3,4,3,5,5,4,2,4,4,4,2,4,2,5,5,5,4,5,4,2,3,4,3,4,4,3,3,4,4,4,4,3,1,4,4,4,4,4,4,3,3,2,3,2,4,4,4,5,5,1,Monthly,Rarely,Likely,4,3
I get anxious,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,"Some college, no degree",Student,Divorced,"$60,000 to $79,999",Hispanic or Latino,West Europe,Toddler(s) (3-5 years),4,4,3,5,4,3,3,4,5,4,3,3,5,4,3,3,4,5,4,3,3,4,5,4,4,5,3,3,4,5,5,4,3,5,3,4,5,4,3,3,4,5,5,4,3,5,4,3,3,4,5,Weekly,Daily,Neutral,7,5
I get anxious,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,"Some college, no degree",Employed part-time,Single/Never married,"Less than $20,000",Hispanic or Latino,West Europe,No children,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,5,5,5,Monthly,Rarely,Very Likely,7,5
I get anxious,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Non-binary/Third gender,Trade/technical/vocational training,Self-employed,Single/Never married,"$40,000 to $59,999",Black or African American,Africa,No children,4,3,3,5,4,3,3,4,5,5,5,4,4,4,4,3,3,3,5,5,5,4,3,5,5,5,5,5,4,4,4,4,4,3,3,3,4,4,4,3,3,3,5,5,5,5,4,3,4,5,3,Weekly,Weekly,Neutral,7,2
I get anxious,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,Bachelor’s degree,Employed full-time,Single/Never married,"$40,000 to $59,999",Caucasian (White),USA,No children,5,5,4,4,5,4,4,3,5,5,5,5,5,4,4,5,5,4,4,5,5,5,4,3,4,4,3,3,4,4,4,4,5,5,4,5,4,4,5,5,4,3,4,3,4,4,5,5,5,5,5,Rarely,Rarely,Very Likely,7,4
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Female,Some high school,Unemployed,Single/Never married,"$20,000 to $39,999",Hispanic or Latino,Oceania,No children,4,5,3,5,4,3,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,4,5,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,4,Weekly,Daily,Unlikely,7,1
I get anxious,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,Trade/technical/vocational training,Employed part-time,Married or domestic partnership,"Less than $20,000",Native American or Indigenous Peoples,South Europe,Toddler(s) (3-5 years),3,5,5,4,4,3,5,5,4,3,3,4,5,4,3,3,4,5,5,4,3,3,4,5,5,4,3,3,4,5,5,4,3,4,3,5,5,4,3,4,5,3,4,3,5,4,3,5,4,4,3,Weekly,Daily,Neutral,7,3
I get anxious,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",35 - 44,Female,Post Graduate degree or higher,Unable to work,Married or domestic partnership,"Less than $20,000",Multiracial or Mixed Race,Central Europe,Teenager(s) (13-19 years),3,3,4,5,5,4,3,3,4,5,5,4,3,4,5,5,4,3,3,4,5,5,4,3,4,3,5,4,3,5,3,4,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,3,4,5,Daily,Weekly,Likely,7,3
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,Some high school,Student,Single/Never married,"Less than $20,000",Caucasian (White),USA,No children,3,4,4,4,4,5,5,4,5,5,4,5,3,5,3,4,4,3,4,4,4,3,5,5,3,4,4,4,5,4,5,4,3,5,5,3,5,4,5,4,5,3,3,5,5,4,4,4,5,3,5,Rarely,Monthly,Likely,7,2
I dislike disruptions,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",25 - 34,Male,High school graduate,Unemployed,Single/Never married,"Less than $20,000",Caucasian (White),Caribbean Islands,No children,4,5,5,5,4,5,5,3,4,4,5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,3,4,5,4,5,5,5,5,5,5,5,Monthly,Weekly,Neutral,5,4
I stay calm and analyze the situation,"I have read and fully understood the details provided above. By agreeing to participate in this survey, I consent to the collection and analysis of my responses. I acknowledge that my participation is entirely voluntary, and I am free to withdraw at any time without facing any penalties.",18 - 24,Male,"Some college, no degree",Employed part-time,Single/Never married,"$20,000 to $39,999",Black or African American,East Europe,No children,5,5,4,3,3,4,5,4,5,3,4,3,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Daily,Weekly,Very Likely,7,1
